"","country","R0_1","Beta_1","Threshold_1","Rsq_1","R0_2","Beta_2","Threshold_2","Rsq_2"
"27","Israel","2.49 ; 95%CrI [1.59 ; 3.93]","1.66 ; 95%CrI [0.62 ; 2.76]","0.55 ; 95%CrI [0.43 ; 0.9]",0.58,"1.41 ; 95%CrI [1.14 ; 1.76]","2.63 ; 95%CrI [0.88 ; 4.61]","0.13 ; 95%CrI [0.08 ; 0.23]","0.47"
"28","Italy","2.16 ; 95%CrI [1.89 ; 2.44]","1.45 ; 95%CrI [1.21 ; 1.71]","0.53 ; 95%CrI [0.49 ; 0.58]",0.92,"1.19 ; 95%CrI [1.05 ; 1.35]","0.87 ; 95%CrI [0.34 ; 1.45]","0.21 ; 95%CrI [0.09 ; 0.36]","0.27"
"29","Japan","1.47 ; 95%CrI [1.11 ; 1.98]","1 ; 95%CrI [0.2 ; 1.83]","0.43 ; 95%CrI [0.22 ; NA]",0.18,"1.04 ; 95%CrI [0.79 ; 1.31]","-2.25 ; 95%CrI [-5.87 ; 0.96]","NA","0.48"
"30","Libya","1.06 ; 95%CrI [0.81 ; 1.36]","-1.03 ; 95%CrI [-2.6 ; 0.64]","NA",0.18,"","","",""
"31","Mexico","0.87 ; 95%CrI [0.8 ; 0.94]","-0.58 ; 95%CrI [-0.82 ; -0.32]","NA",0.04,"","","",""
"32","Moldova","2.32 ; 95%CrI [1.1 ; 4.37]","2.85 ; 95%CrI [-0.98 ; 7.53]","",0.5,"1.12 ; 95%CrI [0.72 ; 1.84]","0 ; 95%CrI [-3.11 ; 3.78]","NA","0"
"33","Morocco","2.53 ; 95%CrI [1.73 ; 3.57]","1.81 ; 95%CrI [0.84 ; 2.69]","0.52 ; 95%CrI [0.4 ; 0.75]",0.5,"2.16 ; 95%CrI [0.82 ; 4.28]","2.99 ; 95%CrI [-1.58 ; 6.46]","NA","0.66"
"34","Netherlands","2.61 ; 95%CrI [2.11 ; 3.21]","1.93 ; 95%CrI [1.45 ; 2.4]","0.5 ; 95%CrI [0.45 ; 0.57]",0.93,"1.44 ; 95%CrI [1.18 ; 1.77]","1.39 ; 95%CrI [0.57 ; 2.37]","0.26 ; 95%CrI [0.16 ; 0.46]","0.28"
"35","Pakistan","2.77 ; 95%CrI [1.44 ; 4.61]","1.58 ; 95%CrI [0.13 ; 2.75]","0.65 ; 95%CrI [0.52 ; NA]",0.84,"0.85 ; 95%CrI [0.67 ; 1.1]","-1.04 ; 95%CrI [-2.45 ; 0.62]","NA","0.12"
"36","Panama","2.12 ; 95%CrI [1.26 ; 3.34]","1.41 ; 95%CrI [0.02 ; 2.69]","0.54 ; 95%CrI [0.41 ; NA]",0.4,"2.81 ; 95%CrI [0.67 ; 4.91]","3.65 ; 95%CrI [-1.52 ; 5.79]","NA","0.3"
"37","Paraguay","1.57 ; 95%CrI [0.83 ; 3.57]","1.53 ; 95%CrI [-2.26 ; 6.18]","NA",0,"","","",""
"38","Peru","2.57 ; 95%CrI [1.43 ; 4.33]","0.97 ; 95%CrI [0.08 ; 1.74]","0.97 ; 95%CrI [0.78 ; NA]",0.61,"0.68 ; 95%CrI [0.37 ; 1.13]","-0.69 ; 95%CrI [-1.74 ; 0.28]","NA","0.36"
"39","Philippines","1.29 ; 95%CrI [0.83 ; 2.01]","0.41 ; 95%CrI [-0.36 ; 1.17]","NA",0.41,"","","",""
"40","Poland","1.23 ; 95%CrI [0.88 ; 1.68]","0.2 ; 95%CrI [-0.42 ; 0.82]","",0.04,"1.37 ; 95%CrI [1.18 ; 1.57]","-1.65 ; 95%CrI [-3.33 ; 0.06]","NA","0.45"
"41","Portugal","2.59 ; 95%CrI [1.94 ; 3.39]","1.72 ; 95%CrI [1.13 ; 2.31]","0.55 ; 95%CrI [0.46 ; 0.69]",0.92,"1.19 ; 95%CrI [1.04 ; 1.36]","0.39 ; 95%CrI [-0.17 ; 0.99]","NA","0.19"
"42","Romania","3.92 ; 95%CrI [2.36 ; 4.95]","2.28 ; 95%CrI [1.33 ; 2.94]","0.6 ; 95%CrI [0.52 ; 0.72]",0.92,"1.11 ; 95%CrI [1 ; 1.21]","0.06 ; 95%CrI [-0.54 ; 0.57]","NA","-0.01"
"43","Russia","3.68 ; 95%CrI [2.21 ; 4.9]","2.03 ; 95%CrI [0.97 ; 2.74]","0.65 ; 95%CrI [0.55 ; 0.88]",0.89,"1.03 ; 95%CrI [0.96 ; 1.11]","0.05 ; 95%CrI [-0.21 ; 0.38]","NA","0.24"
"44","Saudi_Arabia","3.6 ; 95%CrI [1.59 ; 4.92]","2 ; 95%CrI [0.25 ; 2.98]","0.64 ; 95%CrI [0.49 ; NA]",0.87,"0.92 ; 95%CrI [0.76 ; 1.11]","-0.87 ; 95%CrI [-1.9 ; 0.12]","NA","0.64"
"45","South_Africa","0.84 ; 95%CrI [0.75 ; 0.94]","-0.88 ; 95%CrI [-1.31 ; -0.44]","NA",0.1,"","","",""
"46","Spain","1.75 ; 95%CrI [1.6 ; 1.91]","1.51 ; 95%CrI [1.29 ; 1.75]","0.37 ; 95%CrI [0.33 ; 0.42]",0.75,"1.14 ; 95%CrI [1.04 ; 1.25]","1.09 ; 95%CrI [0.48 ; 1.88]","0.13 ; 95%CrI [0.04 ; 0.28]","0.48"
"47","Sweden","2.7 ; 95%CrI [2.05 ; 3.51]","2.57 ; 95%CrI [1.7 ; 3.4]","0.39 ; 95%CrI [0.34 ; 0.46]",0.83,"0.99 ; 95%CrI [0.85 ; 1.15]","0.25 ; 95%CrI [-0.51 ; 1.09]","NA","0.08"
"48","Switzerland","2.48 ; 95%CrI [1.91 ; 3.12]","3.36 ; 95%CrI [2.26 ; 4.39]","0.27 ; 95%CrI [0.23 ; 0.33]",0.93,"1.07 ; 95%CrI [0.79 ; 1.42]","2.19 ; 95%CrI [-0.97 ; 5.82]","NA","0.03"
"49","Turkey","2.78 ; 95%CrI [2.19 ; 3.46]","1.96 ; 95%CrI [1.43 ; 2.46]","0.52 ; 95%CrI [0.46 ; 0.6]",0.94,"1.08 ; 95%CrI [0.98 ; 1.18]","0.28 ; 95%CrI [-0.13 ; 0.67]","NA","0.33"
"50","Ukraine","2.96 ; 95%CrI [1.64 ; 4.54]","2.21 ; 95%CrI [0.54 ; 3.61]","0.5 ; 95%CrI [0.37 ; NA]",0.81,"1.06 ; 95%CrI [0.88 ; 1.24]","0.2 ; 95%CrI [-0.39 ; 0.91]","NA","0"
"51","United_Kingdom","2.71 ; 95%CrI [2.37 ; 3.07]","2.29 ; 95%CrI [1.92 ; 2.63]","0.44 ; 95%CrI [0.41 ; 0.47]",0.98,"1.43 ; 95%CrI [1.21 ; 1.67]","1.98 ; 95%CrI [1.19 ; 2.82]","0.18 ; 95%CrI [0.14 ; 0.23]","0.68"
"52","USA","2.5 ; 95%CrI [2.18 ; 2.81]","1.75 ; 95%CrI [1.47 ; 2.01]","0.52 ; 95%CrI [0.49 ; 0.57]",0.73,"1.02 ; 95%CrI [0.96 ; 1.09]","0.37 ; 95%CrI [0.04 ; 0.72]","0.06 ; 95%CrI [-0.87 ; 0.16]","0.12"
